id,scope,sku,field,before,after,label
phase2R-abrasive_polish-20144.261.001-1,product,20144.261.001,template_sub_type,sanding_paste,heavy_cut_compound,"APPROVED (5/5): abrasive_polish içi; boya öncesi ağır matlaştırma pastası = heavy_cut_compound ailesi; specs.finish_level=Matte ayrıştırıcı olarak kalır"
phase2R-abrasive_polish-23003.391.001-2,product,23003.391.001,template_sub_type,metal_polish,polish,"APPROVED (5/5): abrasive_polish içi; metal/krom parlatıcı polish ailesinin alt-tipi; target_surface=Metal/Chrome/Steel ayrıştırıcı"
phase2R-abrasive_polish-22748.261.001-3,product,22748.261.001,template_sub_type,one_step_polish,polish,"APPROVED (5/5): abrasive_polish içi; tek adım pasta orta-agresif polish ailesi; cut_level ile ayrıştırılır"
phase2R-applicators-Q2M-SPE-4,product,Q2M-SPE,template_sub_type,scrub_pad,cleaning_pad,"APPROVED (5/5): applicators içi; deri/plastik çift taraflı temizlik aplikatörü temizlik pedi ailesi"
phase2R-applicators-SGGD004-5,product,SGGD004,template_sub_type,wash_sponge,cleaning_pad,"APPROVED (5/5): applicators içi; araç yıkama süngeri geniş yüzey temizlik pedi; material=sponge specs ile ayrıştırılır"
phase2R-applicators-SGGD190-6,product,SGGD190,template_sub_type,cleaning_sponge,cleaning_pad,"APPROVED (5/5): applicators içi; melamin sihirli sünger leke temizleme pedi ailesi"
phase2R-car_shampoo-Q2M-PPFW500M-7,product,Q2M-PPFW500M,template_sub_type,ppf_shampoo,ph_neutral_shampoo,"APPROVED (5/5): car_shampoo içi; PPF Wash ph=7 Nötr, araç gövde yıkama; ph-nötr şampuan alt-sınıfı"
phase2R-ceramic_coating-Q2-PR1000M-8,product,Q2-PR1000M,template_sub_type,single_layer_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; boya yüzeyi; Q Primer seramik bazlı son kat cila = paint_coating alt-tipi"
phase2R-ceramic_coating-Q2-OLE100M-9,product,Q2-OLE100M,template_sub_type,single_layer_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; boya yüzeyi; Q One EVO tek kat seramik = paint_coating alt-tipi"
phase2R-ceramic_coating-Q2-MTEL50M-10,product,Q2-MTEL50M,template_sub_type,matte_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; mat boya/PPF yüzeyi (hâlâ boya kategorisi); paint_coating mat varyantı, finish_level specs ile ayrıştırılır"
phase2R-ceramic_coating-Q2-CCE200M-11,product,Q2-CCE200M,template_sub_type,spray_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; CanCoat EVO sprey formlu boya kaplama; application_form=spray specs ile ayrıştırılır"
phase2R-ceramic_coating-Q2-SLE50M-12,product,Q2-SLE50M,template_sub_type,paint_coating_kit,paint_coating,"APPROVED (5/5): ceramic_coating içi; Syncro EVO çift katman boya kaplama kiti; kit_flag specs ile ayrıştırılır"
phase2R-ceramic_coating-MXP-HC50KS-13,product,MXP-HC50KS,template_sub_type,multi_step_coating_kit,paint_coating,"APPROVED (5/5): ceramic_coating içi; hibrit seramik boya kaplama kit; kit_flag specs ile ayrıştırılır"
phase2R-ceramic_coating-Q2-BS30M-14,product,Q2-BS30M,template_sub_type,top_coat,paint_coating,"APPROVED (5/5): ceramic_coating içi; Q Booster seramik yenileyici mevcut kaplama üstüne uygulanıyor ama hedef yüzey hâlâ boya/seramik; paint_coating booster varyantı"
phase2R-ceramic_coating-Q2-PPFE50M-15,product,Q2-PPFE50M,template_sub_type,ppf_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; PPF/vinil yüzeyi hâlâ boya üstü film olarak paint_coating altında değerlendirilebilir; target_film specs ile ayrıştırılır"
phase2R-ceramic_coating-Q2-RE30M-16,product,Q2-RE30M,template_sub_type,wheel_coating,paint_coating,"APPROVED (5/5): ceramic_coating içi; jant boyalı metal yüzeyi — mineral/seramik koruma mekaniği paint_coating ile aynı; target_surface=wheel specs ile ayrıştırılır"

phase2R-clay_products-MGPS-6009P-17,product,MGPS-6009P,template_sub_type,clay_cloth,clay_pad,"APPROVED (5/5): clay_products içi; form=cloth specs.format ile ayrıştırılır; aynı iş = dekontaminasyon"
phase2R-clay_products-MGPS-6012K-18,product,MGPS-6012K,template_sub_type,clay_disc,clay_pad,"APPROVED (5/5): clay_products içi; form=disc specs.format ile ayrıştırılır; aynı iş = makine destekli dekontaminasyon"
phase2R-clay_products-MGPS-6016P-19,product,MGPS-6016P,template_sub_type,clay_mitt,clay_pad,"APPROVED (5/5): clay_products içi; form=mitt specs.format ile ayrıştırılır; aynı iş = dekontaminasyon"
