category_key,question,answer,related_skus,source_blog
_CAT:full_detailing_workflow,Tam bir detailing süreci nasıl yapılır?,"Profesyonel car detailing 5 ana aşamada yapılır: (1) Yıkama: SP1 PREWASH ile ön yıkama, ardından S2 FOAMY veya koruyucu için S1 WASH&COAT ile iki kovalı yıkama; MICRON WASH MITT ile uygulama; GYEON SilkDryer ile kurutma. (2) Dekontaminasyon: D1 IRON (demir), D3 TAR (zift), DS SCALE / 0 SCALE (kireç) ile kimyasal; ardından MG PS veya GYEON kil bar + GYEON Clay Lube ile mekanik. Seramik öncesi D2 CHECK ile yağ temizliği. (3) Polisaj: Çiziklere göre MENZERNA 400 (ağır) → MENZERNA One-Step → MENZERNA 3800 (finish). (4) Koruma: Kolay uygulama için SC0 HYDRO SEALANT (su bazlı) veya SC1 SEALANT (alkol bazlı, hızlı); premium için SINH HYBRID seramik kaplama; booster olarak H2O COAT. (5) Bakım: Her yıkamada S1 WASH&COAT ile koruma tazele; aralarda W1 QUICK DETAILER ile parlatma; mikrofiberler için SM MICRON SHAMPOO.",79280;79283;79286;79291;79293;79290;701344;79292;Q2M-CME;MGPS-2019KM;Q2M-CLR500M;22200.261.001;22748.261.001;22992.261.001;79295;79417;700405;79304;79301;701422,blog5_detailing
_CAT:car_wash_process,Aracımı nasıl doğru yıkarım?,"Profesyonel yıkama şu sırayı izler: Önce SP1 PREWASH ile ön yıkama yap (araç sıcak olmasın, güneş altında yıkama yapma). Yüksek basınçlı yıkayıcı (≥160 bar) tercih edilir. Ardından S2 FOAMY (PH nötr) veya koruma için S1 WASH&COAT (SIO2 içerikli) ile köpük lansı + basınçlı pompa (IK FOAM PRO 2) kullan. İki kovalı yıkamada grit guard (INNOVACAR Kova Seti 79472) ile dipteki tortuyu mite bulaştırma. MICRON WASH MITT (KLIN Wash Mitt) ile temiz paneller üzerinde hafif basınçla çalış. Eldiveni sık durula. Kurutma GYEON QM SilkDryer gibi mikrofiber havlu ile yapılmalı; yanlış kurutma ciddi hasara yol açar.",79280;79283;79286;81676;79472;3221A-RD;Q2M-SDE7090C,blog1_lavaggio
_CAT:decontamination,Dekontaminasyon nedir ne zaman yapılır?,"Yıkama, boya gözeneklerine yerleşen demir parçacıkları ve zift gibi kirleri çıkaramaz. Dekontaminasyon iki aşamalıdır: (1) Kimyasal: D1 IRON (demir/balata tozu), D3 TAR (zift/katran), DS SCALE ve 0 SCALE (kireç/asit yağmuru) ile sprey uygulama. (2) Mekanik: GYEON Clay Lube (Q2M-CLR500M) ile kayganlaştırıp kil barı kullan — GYEON Clay Mild EVO (hafif), MG PS mavi orta, MG PS mor agresif. 'Poşet testi' (yüzeyi poşet içinden parmakla yokla) ile gereklilik anlaşılır. Alternatif: MG PS Clay Mitt (MGPS-6016P). Cila veya seramik öncesi D2 CHECK ile yağ/kalıntıyı temizle. Kil, contalarda ve boyasız plastikte KULLANILMAZ. Çizik çıkarmaz, sadece kir alır.",79291;79293;79290;701344;Q2M-CLR500M;Q2M-CME;MGPS-2019KM;MGPS-2019KH;MGPS-6016P;79292,blog4_decon
_CAT:chemical_vs_mechanical_decon,Kimyasal ve mekanik dekontaminasyon farkı nedir?,"Kimyasal dekontaminasyon sprey ürünler ile kiri kimyasal reaksiyonla çözer (demir, zift, kireç, asit yağmuru); mekanik dekontaminasyon clay bar ile yüzeye yapışmış kalan empüriteleri fiziksel olarak söker. Sıralama her zaman kimyasal → mekanikdir. Kimyasal her 3 yıkamada veya ihtiyaca göre, mekanik yılda 1-2 kez gerekli. Kil 40x40 cm seksiyonlarda örtüşen paslarla, soğuk ve kuru yüzeyde kullanılmalı; clay'i sık yeniden şekillendir. Red clay %90 durum için, blue clay antika ve hassas boyalar için.",79291;79293;Q2M-CME;MGPS-2019KM;MGPS-2019KH;Q2M-CLR500M,blog4_decon
_CAT:sealant_basics,Sealant nedir nasıl çalışır?,"Sealant'lar boyadaki mikroskobik gözenekleri doldurup koruyucu bir bariyer oluşturur. İki tip var: Su bazlı (SC0 HYDRO SEALANT 79295/700097) kolay uygulama, yavaş kuruma; alkol bazlı (SC1 SEALANT 79417/700096) hızlı kuruma. Koruma süresi standart 5 ay, bakımla 9 aya uzar. Uygulama: Önce temiz/dekontamine/kurutulmuş yüzey. Sprey + MICRON UP (GYEON BaldWipe) ile 40x40 cm seksiyonlarda çalış; 1 saat kuruma, 7 saat cure süresi (bu süre içinde yıkama). Kirli veya eskimiş bez kullanma. Yenileme: her sezon veya 6-8 yıkamada bir; W1 QUICK DETAILER (79301) ve H2O COAT (79304) ile booster ver.",79295;700097;79417;700096;Q2M-BWE4040;79301;79304,blog2_sealant
_CAT:ceramic_coating_basics,Seramik kaplama nedir sealant'tan farkı?,"Seramik kaplama 4-5 yıl veya 75000 km dayanır; sealant 5-9 ay. Seramik kontrollü ortamda (+5°C / +25°C) ve tam hazırlık gerektirir (yıkama + tam dekontaminasyon + D2 CHECK ile yağ temizliği). İlk 7 gün yağmur/kara maruz bırakma. Tek adım seramik için INNOVACAR SINH HYBRID (700405). Uygulama: MICRON SUEDE (GYEON Q2M-SEP1010C) süet bez + FOAM APP BLOCK (KLIN Dual 3235) ile ince katman uygula; fazlalığı MICRON BUFFING (KLIN 3215D) ile al. Son koruyucu kat SC0 HYDRO SEALANT önerilir. Bakım için S1 WASH&COAT ile yıka; Innovacar dışı bakım ürünü performansı bozar.",700405;Q2M-SEP1010C;3235;3215D;79295;79286;79292,blog2_sealant
_CAT:glaze_basics,Glaze nedir ne işe yarar?,"Glaze (Innovacar G1 GLOSSY); yağ, kaolin ve nanopolimer içeren aşındırıcı olmayan parlatma ürünüdür. Boyadaki küçük kusurları maskeler ve renk derinliği katar ama derin çizikleri silmez. Sadece geçici koruma sağlar (~2 yıkama). En iyi performans için önce sealant (SC0 HYDRO), sonra glaze uygulanır. Derin çizikler için MENZERNA One-Step (22748) veya MENZERNA 400 gibi abrasive cila gereklidir. Not: Saf glaze ürünü katalogumuzda bulunmuyor; benzer parlatma etkisi için W1 QUICK DETAILER (79301) veya MENZERNA One-Step Polish önerilir.",79301;22748.261.001;79295,blog3_glaze
_CAT:polishing_basics,Polisaj cilalama aşamaları nedir?,"Polisaj 3 kademeli yapılır: (1) Ağır kesim: derin çizik ve oksidasyon için MENZERNA 400 (22200.261.001) veya MENZERNA 1000; kırmızı heavy-cut pad ile. (2) Orta/tek adım: MENZERNA One-Step Polish (22748.261.001) hafif-orta kusurlar için. (3) Finish: MENZERNA 3800 (22992.261.001) ile süper hare giderme; sarı veya yeşil finishing pad ile. Random orbital 1-4 hız; rotary 700-900 rpm. 60x60 cm seksiyonlarda çalış. Buffing için GYEON PolishWipe (Q2M-PWE4040C) veya KLIN Buffing King (3215D) kullan. Hatalı polisaj premium koruma ürününün etkisini bile sıfırlar.",22200.261.001;22748.261.001;22992.261.001;26900.224.010;26900.224.012;Q2M-PWE4040C;3215D,blog2_sealant;blog5_detailing
_CAT:clay_bar_usage,Clay bar nasıl kullanılır?,"Clay bar boyadaki mikroskobik empüriteleri fiziksel olarak söker. Önce araç tam yıkanmış ve kimyasal decon yapılmış olmalı. Kili DL LUBE (GYEON Q2M-CLR500M) ile bolca kayganlaştır — kuru yüzeyde asla kullanma. 40x40 cm seksiyonlarda ileri-geri örtüşen paslarla çalış. Kili sık yeniden şekillendir (temiz ve soğuk yüzey). Seçim: hafif kontaminasyon için GYEON Clay Mild EVO (Q2M-CME); orta için MG PS mavi (MGPS-2019KM); ağır için MG PS mor (MGPS-2019KH). Alternatif: MG PS Clay Mitt (MGPS-6016P) daha hızlıdır. Clay bar contalarda ve boyasız plastiklerde KULLANILMAZ. Sadece kir söker, çizik çıkarmaz. Sonrasında hızlı yıkama yap, cila veya sealant'a geç.",Q2M-CLR500M;Q2M-CME;MGPS-2019KM;MGPS-2019KH;MGPS-6016P,blog3_glaze;blog4_decon
_CAT:microfiber_care,Mikrofiber bezler nasıl bakılır?,"Mikrofiberler farklı görevlere ayrılmalıdır: yıkama (KLIN Wash Mitt 3221A-RD), kurutma (GYEON SilkDryer Q2M-SDE7090C), aplikatör (GYEON Coating Applicator Q2M-CA2P), buffing (KLIN Buffing King 3215D), seramik (GYEON Suede EVO Q2M-SEP1010C), cam (GYEON GlassWipe). Yıkama için INNOVACAR SM MICRON SHAMPOO (701422) kullan — standart deterjan mikrofiberi bozar. Farklı renk/etiketle ayır; yere düşen bez kirlenmiş sayılır, yeniden yıkanmadan kullanma. Yumuşatıcı kullanma (elyafları kapatır).",701422;3221A-RD;Q2M-SDE7090C;Q2M-CA2P;3215D;Q2M-SEP1010C,blog1_lavaggio;blog2_sealant
