id,scope,sku,field,before,after,label
phase2R-abrasive_polish-20144.261.001-1,product,20144.261.001,template_sub_type,sanding_paste,heavy_cut_compound,APPROVED: abrasive_polish icinde; boya oncesi matlastirma pastasi = heavy_cut_compound ailesi
phase2R-abrasive_polish-23003.391.001-2,product,23003.391.001,template_sub_type,metal_polish,polish,APPROVED: metal/krom parlatici polish ailesinin alt-tipi
phase2R-abrasive_polish-22748.261.001-3,product,22748.261.001,template_sub_type,one_step_polish,polish,APPROVED: tek adim pasta orta-agresif polish ailesi
phase2R-car_shampoo-Q2M-PPFW500M-7,product,Q2M-PPFW500M,template_sub_type,ppf_shampoo,ph_neutral_shampoo,APPROVED: PPF Wash ph=7 Notr ph-notr sampuan alt-sinifi
phase2R-ceramic_coating-Q2-OLE100M-9,product,Q2-OLE100M,template_sub_type,single_layer_coating,paint_coating,APPROVED: Q One EVO tek kat seramik paint_coating alt-tipi
phase2R-ceramic_coating-Q2-MTEL50M-10,product,Q2-MTEL50M,template_sub_type,matte_coating,paint_coating,APPROVED: mat boya/PPF seramik paint_coating mat varyanti
phase2R-ceramic_coating-Q2-CCE200M-11,product,Q2-CCE200M,template_sub_type,spray_coating,paint_coating,APPROVED: CanCoat EVO sprey formlu paint_coating
phase2R-ceramic_coating-Q2-SLE50M-12,product,Q2-SLE50M,template_sub_type,paint_coating_kit,paint_coating,APPROVED: Syncro EVO cift katman boya kaplama kiti
phase2R-ceramic_coating-MXP-HC50KS-13,product,MXP-HC50KS,template_sub_type,multi_step_coating_kit,paint_coating,APPROVED: hibrit seramik boya kaplama kit
phase2R-ceramic_coating-Q2-BS30M-14,product,Q2-BS30M,template_sub_type,top_coat,paint_coating,APPROVED: Booster seramik yenileyici paint_coating booster varyanti
phase2R-ceramic_coating-Q2-PPFE50M-15,product,Q2-PPFE50M,template_sub_type,ppf_coating,paint_coating,APPROVED: PPF/vinil boya ustu film paint_coating
phase2R-clay_products-MGPS-6009P-17,product,MGPS-6009P,template_sub_type,clay_cloth,clay_pad,APPROVED: form=cloth ayni is = dekontaminasyon
phase2R-clay_products-MGPS-6012K-18,product,MGPS-6012K,template_sub_type,clay_disc,clay_pad,APPROVED: form=disc makine destekli dekontaminasyon
phase2R-clay_products-MGPS-6016P-19,product,MGPS-6016P,template_sub_type,clay_mitt,clay_pad,APPROVED: form=mitt ayni is = dekontaminasyon
phase2R-contaminant_solvers-Q2M-PYA4000M-21,product,Q2M-PYA4000M,template_sub_type,single_layer_coating,surface_prep,APPROVED: sub duzeltmesi — yag/kalinti aritici surface_prep
phase2R-interior_cleaner-Q2M-PRYA250M-30,product,Q2M-PRYA250M,template_sub_type,plastic_restorer,plastic_dressing,APPROVED: Preserve plastik trim yenileyici plastic_dressing restorasyon varyanti
phase2R-microfiber-70919-31,product,70919,template_sub_type,chamois_drying_towel,drying_towel,APPROVED: sentetik guderi kurulama bezi drying_towel ana sinifi | User override: target=drying_towel
phase2R-microfiber-Q2M-BWE4040-32,product,Q2M-BWE4040,template_sub_type,coating_cloth,buffing_cloth,APPROVED: Baldwipe EVO kaplama silimi buffing_cloth islevi | User override: target=buffing_cloth
phase2-paint_protection_quick-75182-1,product,75182,template_sub_type,spray_wipe_sealant,spray_sealant,P1 merge: uygulama biçimi=spray; sub-variant flag specs içine
phase2-paint_protection_quick-74059-2,product,74059,template_sub_type,spray_wipe_sealant,spray_sealant,P1 merge: uygulama biçimi=spray; sub-variant flag specs içine
