target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Nasıl randevu alabilirim?,"Web sitemizdeki özel form üzerinden — tüm uygun tarihler ve eğitim türleri orada listelenir.

https://gyeonquartz.com/gec/",How can I make an appointment?,"Via the special form on our website - all available dates and training types will be listed there.

https://gyeonquartz.com/gec/",https://gyeon.zendesk.com/hc/en-us/articles/360000899978-How-can-I-make-an-appointment,360000899978
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Ben bir meraklıyım — beni profesyonel bir detayer olarak yetiştirir misiniz?,Tüm eğitim türlerini alabilirsiniz; sıfırdan en ileri seviyeye kadar tam müfredat dahildir. Ancak şunu hep söyleriz: eğitim sadece uzun bir yolun başlangıcıdır ve pratik hiçbir eğitimle yer değiştirilemez.,I’m an enthusiast - will you train me to become a professional detailer?,"You are able to receive all types of training, also full tuition that will train you from the very beginning till the most advanced level. However, we always advise, that the training is just the beginning of a long way and practice can't be replaced with any training!",https://gyeon.zendesk.com/hc/en-us/articles/360000892697-I-m-an-enthusiast-will-you-train-me-to-become-a-professional-detailer,360000892697
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Hangi dillerde eğitim veriyorsunuz?,"İngilizce, Almanca, Hollandaca, Fransızca ve Lehçe.",What languages do you train in?,"English, German, Dutch, French and Polish.",https://gyeon.zendesk.com/hc/en-us/articles/360000892677-What-languages-do-you-train-in,360000892677
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Eğitmenleriniz kimler?,"Eğitimimizi mümkün olduğunca çok yönlü tutabilmek için ekibimiz uluslararası ve oldukça deneyimlidir. Ana eğitmenler Yves, Stefan ve Jeremy.",Who are your trainers?,"In order to keep our training as versatile as possible, our training team is international and very experienced. The main trainers are Yves, Stefan and Jeremy.",https://gyeon.zendesk.com/hc/en-us/articles/360000899958-Who-are-your-trainers,360000899958
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Hangi eğitimleri sunuyorsunuz?,"Her türünü. Meraklılar için 1 günlük kaplama eğitiminden, profesyonel detayerler veya yeteneklerini geliştirmek isteyen Gyeon Certified Detailer'lar için 5 günlük tam ileri seviye eğitime kadar. Detaylı bilgiyi web sitemizde bulabilirsiniz.",What trainings do you offer?,"Every type. Starting with 1-day coating training for enthusiasts up to full, 5-day advanced training for detailing professionals or Gyeon Certified Detailers wanting to increase their skills. You can easily find more information on our website here: click.",https://gyeon.zendesk.com/hc/en-us/articles/360000892617-What-trainings-do-you-offer,360000892617
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Eğitim merkeziniz nerede?,Almanya — Köln'de bulunuyor. Tüm bilgilere şuradan ulaşabilirsiniz: https://gyeonquartz.com/gec/,Where is your training center located?,It is located in Cologne - Germany. Find all information right here: https://gyeonquartz.com/gec/,https://gyeon.zendesk.com/hc/en-us/articles/360000892597-Where-is-your-training-center-located,360000892597
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Sertifikasyonun avantajları nelerdir?,5 yıl garantili Certified Detailer kaplamalarına erişim kazanırsınız. Certified statüsü ile dünyanın en iyi detayerlerinden oluşan özel bir ağa dahil olur ve web sitemizde listelenirsiniz. Çalışmalarınızı sosyal medya platformlarımızda öne çıkarırız.,What benefits come with the certification?,"You gain access to our Certified Detailer coatings that come with 5 year warranties. Having the Certified status, you belong to an exclusive network of the world’s best detailers and will be listed on our website. We will promote your work on social media platforms.",https://gyeon.zendesk.com/hc/en-us/articles/360000892577-What-benefits-come-with-the-certification,360000892577
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Sözleşme veya minimum sipariş şartı var mı?,Hayır. Tam seçim özgürlüğüne ve doğru ürünü o araç için kendinizin seçmenize inanırız. Yine de detayerlerimizi Gyeon ile yaptıkları işleri sosyal medyada paylaşmaya teşvik ederiz; böylece biz de işlerinizi platformlarımızda paylaşırız.,Are there any contracts or purchase minimums?,"No. We believe in full freedom of choice and your decision to choose the right product for a particular vehicle. However, we encourage our detailers to promote their work with Gyeon on social media, as this will also allow us to share your work on our platforms.",https://gyeon.zendesk.com/hc/en-us/articles/360000892557-Are-there-any-contracts-or-purchase-minimums,360000892557
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Bölgesel münhasırlık sağlıyor musunuz?,"Evet, bölgesel münhasırlık sağlıyor ve işletmenizin büyümesi için rahat bir ortam sunmaya çalışıyoruz.",Do you provide territorial exclusivity?,"Yes, we provide territorial exclusivity and strive to provide a comfortable environment for your business to grow.",https://gyeon.zendesk.com/hc/en-us/articles/360000892537-Do-you-provide-territorial-exclusivity,360000892537
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Neden IR lamp gerektiriyorsunuz?,Müşterilerimizin kaplanmış araçlarını tamamen hazır olarak teslim almasını istiyoruz; bu nedenle kaplamayı araç stüdyodan çıkmadan zorla kürlemenizi öneriyoruz. Bu aynı zamanda garantimizin bir gereğidir.,Why do you require an IR lamp?,We want to ensure our customers will pick up their coated car as a ready-made product and therefore suggest force curing the coatings before the car leaves the studio. This is also a requirement for our warranty.,https://gyeon.zendesk.com/hc/en-us/articles/360000899918-Why-do-you-require-an-IR-lamp,360000899918
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Deneme süresinde Certified Detailer kaplamalarını kullanabilir miyim?,"Hayır, bu kaplamalar yalnızca Gyeon Certified Detailer'lara özeldir. Sertifikasyondan sonra ilk günden itibaren satın alabilirsiniz.",Can I use Certified Detailer coatings on the probationary period?,"No, they are reserved exclusively for Gyeon Certified Detailers. You will be able to purchase them since day 1 after your certification.",https://gyeon.zendesk.com/hc/en-us/articles/360000899898-Can-I-use-Certified-Detailer-coatings-on-the-probationary-period,360000899898
