cluster_id,group_key,faq_id,sku,scope,question,answer_len,action,reason
c1,sku:Q2-FCNA400M,3066,Q2-FCNA400M,product,Bu ürün nedir?,96,keep,"cluster of 2, kept longest answer"
c1,sku:Q2-FCNA400M,2455,Q2-FCNA400M,product,Bu ürün nedir?,95,delete,near-duplicate of faq 3066 (kept)
c2,sku:Q2-FCNA400M,3065,Q2-FCNA400M,product,Nasıl uygulanır?,306,keep,"cluster of 2, kept longest answer"
c2,sku:Q2-FCNA400M,2508,Q2-FCNA400M,product,Nasıl uygulanır?,305,delete,near-duplicate of faq 3065 (kept)
c3,sku:Q2-FCNA400M,2487,Q2-FCNA400M,product,Nereye uygulanır?,98,keep,"cluster of 2, kept longest answer"
c3,sku:Q2-FCNA400M,3064,Q2-FCNA400M,product,Nereye uygulanır?,85,delete,near-duplicate of faq 2487 (kept)
c4,sku:Q2-FCNA400M,3063,Q2-FCNA400M,product,Ne kadar dayanır?,35,keep,"cluster of 2, kept longest answer"
c4,sku:Q2-FCNA400M,2550,Q2-FCNA400M,product,Ne kadar dayanır?,34,delete,near-duplicate of faq 3063 (kept)
c5,sku:Q2-FCNA400M,2529,Q2-FCNA400M,product,Birden fazla kat uygulayabilir miyim?,5,keep,"cluster of 2, kept longest answer"
c5,sku:Q2-FCNA400M,3062,Q2-FCNA400M,product,Birden fazla kat uygulayabilir miyim?,5,delete,near-duplicate of faq 2529 (kept)
c6,sku:Q2-FCNA400M,3061,Q2-FCNA400M,product,Ürünün kuruması/kürlenmesi ne kadar sürer?,86,keep,"cluster of 2, kept longest answer"
c6,sku:Q2-FCNA400M,2571,Q2-FCNA400M,product,Ürünün kuruması/kürlenmesi ne kadar sürer?,74,delete,near-duplicate of faq 3061 (kept)
c7,sku:Q2-FCNA400M,2591,Q2-FCNA400M,product,Bu ürünle kaplı bir araç nasıl bakım görür?,128,keep,"cluster of 2, kept longest answer"
c7,sku:Q2-FCNA400M,3060,Q2-FCNA400M,product,Bu ürünle kaplı bir araç nasıl bakım görür?,128,delete,near-duplicate of faq 2591 (kept)
c8,sku:Q2-FCNA400M,3059,Q2-FCNA400M,product,Su artık boncuklanmıyor — ne yapmalıyım?,136,keep,"cluster of 2, kept longest answer"
c8,sku:Q2-FCNA400M,2664,Q2-FCNA400M,product,Su artık boncuklanmıyor — ne yapmalıyım?,135,delete,near-duplicate of faq 3059 (kept)
c9,sku:Q2-FCNA400M,3058,Q2-FCNA400M,product,Ürünü kullandığım yüzey yapışkan — bu normal mi?,239,keep,"cluster of 2, kept longest answer"
c9,sku:Q2-FCNA400M,2706,Q2-FCNA400M,product,Ürünü kullandığım yüzey yapışkan — bu normal mi?,238,delete,near-duplicate of faq 3058 (kept)
c10,sku:Q2-FCNA400M,3057,Q2-FCNA400M,product,Üründen biraz cam/boya üzerine sıktım — nasıl temizlerim?,56,keep,"cluster of 2, kept longest answer"
c10,sku:Q2-FCNA400M,2694,Q2-FCNA400M,product,Üründen biraz cam/boya üzerine sıktım — nasıl temizlerim?,52,delete,near-duplicate of faq 3057 (kept)
c11,sku:Q2M-LCSYA1000M,904,Q2M-LCSYA1000M,product,Neden yumuşatıcı içermiyor?,139,keep,"cluster of 2, kept longest answer"
c11,sku:Q2M-LCSYA1000M,909,Q2M-LCSYA1000M,product,Neden yumuşatıcı içermiyor?,128,delete,near-duplicate of faq 904 (kept)
c12,sku:Q2M-CRYA250M,327,Q2M-CRYA250M,product,Wax veya sealant üzerinde kullanabilir miyim?,53,keep,"cluster of 2, kept longest answer"
c12,sku:Q2M-CRYA250M,1305,Q2M-CRYA250M,product,Wax veya sealant üzerinde kullanabilir miyim?,53,delete,near-duplicate of faq 327 (kept)
c13,sku:Q2M-IWCR4000M,1244,Q2M-IWCR4000M,product,Jant kaplamasını aşındırır mı?,67,keep,"cluster of 2, kept longest answer"
c13,sku:Q2M-IWCR4000M,1247,Q2M-IWCR4000M,product,Jant kaplamasını aşındırır mı?,55,delete,near-duplicate of faq 1244 (kept)
c14,brand:gyeon,2736,,brand,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,257,keep,"cluster of 6, kept longest answer"
c14,brand:gyeon,2971,,brand,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,218,delete,near-duplicate of faq 2736 (kept)
