id,scope,sku,field,before,after,label,confidence,source_quote
phase3a-74391-confidence_level-1,product.specs,74391,specs.confidence_level,,medium,Faz3 extract,low,"…n toza ve UV ışınlarına karşı etkili bir antistatik bariyer sağlar. Aracın plastik parçaları özellikle hassastır, aslında yüz…"
phase3a-700209-confidence_level-1,product.specs,700209,specs.confidence_level,,medium,Faz3 extract,low,…toz ve kir birikimini geciktirerek uzun süre “yeni” görünüm sağlar. ANA ÖZELLİKLER | FRA-BER POLISH PLUS AROMA Ürün Özellik…
phase3a-700209-application_method-1,product.specs,700209,specs.application_method,,hand,Faz3 extract,medium,"…en ~20 cm mesafeden ince film hâlinde püskürtün. 3. Yayma: Mikrofiber bezle homojen şekilde dağıtın. 4. Son Dokunuş: Temiz, kuru bezle…"
phase3a-700209-indoor_use-1,product.specs,700209,specs.indoor_use,,True,Faz3 extract,medium,…sele/vinil yüzey koruması • Showroom veya teslimat öncesi iç mekân kozmetik son dokunuş FRA-BER POLISH PLUS AROMA KULLANIM…
phase3a-700209-outdoor_use-1,product.specs,700209,specs.outdoor_use,,True,Faz3 extract,medium,"…, kauçuk, lastik trim UYARILAR VE DEPOLAMA • Doğrudan güneş altında veya sıcak yüzeyde uygulamayınız. • Açık gözenekli süet/nu…"
phase3a-Q2M-CM1000M-skill_level-1,product.specs,Q2M-CM1000M,specs.skill_level,,both,Faz3 extract,medium,GYEON Q²M Compound: Tek Adımda Yüksek Performanslı Çizik Gid…
phase3a-Q2M-CM1000M-pre_coating_safe-1,product.specs,Q2M-CM1000M,specs.pre_coating_safe,,True,Faz3 extract,medium,…atlice silin. Yüzeyin gerçek durumunu görmek için GYEON Q²M Prep ile tüm polisaj yağlarından arındırın. Önerilen Polisaj Si…
phase3a-Q2M-CMP1000M-skill_level-1,product.specs,Q2M-CMP1000M,specs.skill_level,,both,Faz3 extract,medium,GYEON Q²M Compound+: Maksimum Düzeltme ve Boya Restorasyon P…
phase3a-Q2M-CMP1000M-application_method-1,product.specs,Q2M-CMP1000M,specs.application_method,,hand,Faz3 extract,medium,…trol ve Temizlik: Yüzeydeki ürün kalıntılarını kaliteli bir mikrofiber bezle silin. Yapılan düzeltmenin gerçek durumunu görmek için yüze…
phase3a-Q2M-CMP1000M-pre_coating_safe-1,product.specs,Q2M-CMP1000M,specs.pre_coating_safe,,True,Faz3 extract,medium,…an düzeltmenin gerçek durumunu görmek için yüzeyi GYEON Q²M Prep ile silerek tüm polisaj yağlarından arındırın. Önerilen…
