sku,howToUse,whenToUse,whyThisProduct
22203.261.001,"1. Hazırlık: Araç yüzeyini detaylıca yıkayın ve gerekirse kil temizliği yapın. Hassas trimleri Q1 Tapes Premium Maskeleme Bantları ile koruyun.
2. Makine & Ped Seçimi: Flex Rotary (PE serisi) veya Orbital (XCE/XFE serileri) makineler kullanın.
   - Maksimum Kesim: MG PADS Doğal Kuzu Postu Keçe veya MENZERNA Premium Orbital Kuzu Yünü Keçe
   - Dengeli Performans: MENZERNA Kırmızı Sünger veya MG PADS Gri Orbital Sünger
   - Tek Adımda Bitiş: MENZERNA Sarı Sünger
3. Devir Ayarları:
   - Rotary: 600-1000 rpm'de başlayıp 1500-1800 rpm'e çıkın
   - Orbital: 3-4 hız ayarında başlayıp gerekirse 5'e kadar çıkın
4. Çalışma: Ürünü süt görünümünden şeffaf bir filme dönüşene kadar orta basınçla işleyin.
5. Temizlik: Polisaj sonrası kalıntıları mikrofiber bezle silin.
6. Pro-Tip: Uzun süreli işlemlerde çift ped yöntemi kullanarak ped ısınmasını önleyin.","Yılların getirdiği yoğun dairesel çizikler, matlaşma, P1500-P2000 zımpara izleri ve oksidasyon ile mücadele ederken tek adımda hem kesim hem parlaklık istediğinizde kullanılır. İkinci el araç satış hazırlığı ve yoğun işlem hacmi olan atölyeler için idealdir.","• 9/10 kesim ve 9/10 parlaklık ile kalın pasta kategorisinde eşsiz performans.
• Çok düşük tozuma sayesinde temiz çalışma ortamı ve kolay temizlik.
• Panel üzerinde uzun süre çalışabilme özelliği ile geniş yüzeylerde verimlilik.
• Silikonsuz ve dolgusuz formül - gördüğünüz sonuç gerçektir.
• P1500-P2000 zımpara izlerini tek adımda giderir."
22984.260.001,"1. Hazırlık: Araç yüzeyini detaylıca yıkayın ve gerekirse kil temizliği yapın. Hassas trimleri Q1 Tapes maskeleme bantları ile koruyun.
2. Makine & Ped Seçimi: Sadece Rotary polisaj makineleriyle kullanım için geliştirilmiştir (Flex PE serisi gibi).
   - Maksimum Kesim: Doğal Kuzu Postu Keçe
   - Kontrollü Kesim: Menzerna Kırmızı Ağır Kesim Sünger Ped
3. Ürün Miktarı: Pede 1-2 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın. Ardından hızı orta seviyeye (kademe 3-4) çıkarın.
5. Çalışma: Yüzeyde hafif şeffaf bir film kalana kadar çalışın.
6. Temizlik ve Kontrol: Yumuşak mikrofiber bezle kalıntıları silin ve sonucu kontrol edin.","Boya düzeltme işleminin ilk ve en zorlu adımı için kullanılır. Yoğun zımpara izleri, derin çizikler, boya kalıntıları ve belirgin kullanım izlerinin hızlı ve etkili şekilde ortadan kaldırılması gerektiğinde idealdir. Özellikle yüksek verimlilik ve maliyet etkinliği arayan yoğun atölyeler için vazgeçilmezdir.","• Sınıfının en iyi fiyat/performans şampiyonu - yoğun atölyeler için ekonomik çözüm.
• 9/10 kesim gücü - en zorlu kusurları hızlıca ortadan kaldırır.
• Düşük tozuma özelliği ile temiz çalışma ortamı.
• Silikonsuz formül - boya atölyeleri için güvenli."
22930.261.001,"1. Hazırlık: Araç yüzeyini detaylıca yıkayın ve gerekirse kil temizliği yapın. Hassas trimleri Q1 Tapes maskeleme bantları ile koruyun.
2. Makine & Ped Seçimi: Rotary ve Orbital polisaj makineleriyle kullanılabilir.
   - Krater Keçe: Agresif kesim ve hızlı sonuç için
   - Doğal Kuzu Postu Keçe: Dengeli kesim performansı için
   - Mikrofiber Keçe: Kontrollü çalışma için
   - Kalın Pasta Süngeri: Alternatif sünger uygulaması için
3. Ürün Miktarı: Az miktarda ürün ile geniş alanlarda çalışabilirsiniz - ürün ekonomik formüle sahiptir.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın. Ardından hızı kademeli olarak artırın.
5. Çalışma: Su bazlı formül sayesinde uzun süre kurumadan çalışabilirsiniz.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları silin.","Özellikle keçe pedlerle birlikte kullanım için optimize edilmiş agresif bir çizik gidericidir. P1500 ve üstü zımpara izlerini, ağır yüzey çiziklerini ve matlaşmış vernikleri hızlıca ortadan kaldırmak için kullanılır. Maliyet odaklı profesyonel atölyeler ve yüksek verimlilik gerektiren işler için idealdir.","• Keçe uyumlu özel formül - Krater keçe, kuzu postu ve mikrofiber keçelerle mükemmel uyum.
• Toz oluşturmaz - temiz ve konforlu çalışma ortamı.
• Homojen yayılım ve uzun çalışma süresi - su bazlı formül sayesinde kurumadan çalışır.
• Maksimum ekonomi - az ürünle geniş alanlarda verimli çalışma.
• Silikonsuz ve dolgusuz - gördüğünüz sonuç gerçektir."
14992.203.001,"1. Hazırlık: Araç yüzeyini temizleyin. Taze boyalı yüzeylerde yeterli kürlenme süresinin geçtiğinden emin olun. Hassas trimleri Q1 Tapes maskeleme bantları ile koruyun.
2. Makine & Ped Seçimi: Rotary polisaj makinesi ile kullanım için geliştirilmiştir.
   - Maksimum Kesim: Doğal Kuzu Postu Keçe
   - Kontrollü Kesim: Ağır Kesim Sünger Ped
3. Ürün Miktarı: Krem formül sayesinde pede kolayca uygulanır. 1-2 nohut tanesi büyüklüğünde yeterlidir.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın. Taze vernikler için düşük basınçla çalışın.
5. Çalışma: Yüzeyde şeffaf bir film kalana kadar çalışın. Taze verniklerde fazla ısınmadan kaçının.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları silin.","Boya ve kaporta atölyelerinde taze boyanmış panellerdeki zımpara izleri, toz hataları ve uygulama kusurlarını gidermek için kullanılır. P800 gibi son derece agresif zımpara izlerinin bulunduğu yüzeylerde, overspray temizliğinde ve jelkot (gelcoat) yüzeylerde idealdir. Özellikle taze ve yumuşak karakterli vernikler için güvenli bir çözümdür.","• Taze ve yumuşak vernikler için özel formül - kürleşmesini tam tamamlamamış yüzeylerde güvenle çalışır.
• Maksimum 10/10 kesim gücü - P800 gibi en agresif zımpara izlerini bile giderir.
• Krem formül - kolay uygulama ve kontrollü yayılım.
• Silikonsuz ve su bazlı - boya atölyeleri için profesyonel çözüm."
22771.261.001,"1. Hazırlık: Araç yüzeyinin temiz, kuru ve serin olduğundan emin olun. Hassas trimleri Q1 Tapes maskeleme bantları ile koruyun.
2. Makine & Ped Seçimi: Rotary ve Orbital polisaj makineleriyle kullanılabilir.
   - Sert Verniklerde Daha Fazla Kesim: Keçe ped
   - Dengeli Kesim/Parlaklık: Menzerna Sarı Ara Kat Pedi
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın. Ardından hızı orta seviyeye çıkarın.
5. Çalışma: Yüzeyde hafif şeffaf bir film kalana kadar çalışın.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları silin.
7. Pro-Tip: Çift ped yöntemi ile uzun süreli işlemlerde performans kaybını önleyin.","Günlük kullanım ve yanlış yıkamalardan kaynaklanan orta dereceli dairesel çizikleri ve hologramları gidermek için kullanılır. Özellikle sert, seramik veya nano partiküllü çizilmeye dirençli modern verniklerde ekstra kesim gücü gerektiren durumlarda idealdir. Japon otomobilleri gibi hassas yapılı araçlarda da etkili sonuçlar verir.","• Sert verniklerde ekstra kesim gücü - standart ara kat pastaların yetersiz kaldığı yerlerde etkili.
• 6/10 kesim ile 7/10 parlaklık - kesim gücünden beklenmeyecek kadar yüksek bitiş kalitesi.
• Fiyat/performans şampiyonu - profesyoneller ve hobiciler için ekonomik çözüm.
• Diminishing aşındırıcılar - akıllı formül ile güvenli çalışma."
22911.261.001,"1. Hazırlık: Önceki polisaj adımından kalan kalıntıları temizleyin. Yüzeyin serin olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary ve Orbital polisaj makineleriyle kullanılabilir.
   - Önerilen Ped: Menzerna Yeşil Final Pedi veya ultra yumuşak sünger ped
3. Ürün Miktarı: Pede 1-2 nohut tanesi büyüklüğünde ürün uygulayın. Fazla ürün gereksizdir.
4. Uygulama: Makineyi düşük-orta hızda çalıştırın.
   - Rotary: Kademe 2-3
   - Orbital: Kademe 3-4
5. Çalışma: Hafif ve düzenli hareketlerle yüzeyde çalışın. Yağlı bir film oluşana kadar devam edin.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları hafifçe silin ve ayna parlaklığını kontrol edin.
7. Pro-Tip: Çift ped yöntemi ile uzun süreli işlemlerde maksimum parlaklık elde edin.","Daha agresif pasta uygulamaları sonrası yüzeyde kalan hareleri, hologramları ve puslanmayı gidermek için kullanılır. Özellikle Maybach, Rolls Royce gibi lüks araçlarda kullanılan modern seramik ve çizilmeye dirençli sert verniklerde mükemmel sonuçlar verir. Koruma öncesi maksimum derinlikte, ıslak görünümlü parlaklık isteyenler için idealdir. Çok hafif kusurlu araçlarda tek adımda düzeltme ve final olarak da kullanılabilir.","• Maybach ve Rolls Royce standartlarında geliştirilmiş premium formül.
• Dünyanın en küçük ve en homojen aşındırıcı partikülleri - sert verniklerde bile etkili.
• 3/10 kesim ile 10/10 parlaklık - derin, ıslak ve ayna gibi yansıma.
• Silikonsuz ve dolgusuz - gördüğünüz sonuç gerçektir."
22029.261.001,"1. Hazırlık: Önceki polisaj adımından sonra yüzeyin temiz olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary ve Orbital polisaj makineleriyle kullanılabilir.
   - Önerilen Ped: Menzerna Yeşil Final Pedi veya MG PADS Mavi Cila Süngeri
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük-orta hızda çalıştırın.
   - Rotary: Kademe 2-3
   - Orbital: Kademe 3-4
5. Çalışma: Düzenli hareketlerle yüzeyde çalışın. Şeffaf bir film oluşana kadar devam edin.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları silin ve parlaklığı kontrol edin.
7. Pro-Tip: Çift ped yöntemi ile uzun süreli işlemlerde tutarlı sonuçlar elde edin.","İki aşamalı polisaj işleminin son adımı olarak kullanılır. Agresif pasta işlemleri sonrası yüzeyde kalan hareleri, hologramları ve puslu görünümü gidermek için idealdir. Yumuşak, orta sert ve çizilmeye dirençli tüm vernik tiplerinde güvenle kullanılabilir. Sadece çok hafif kusurları olan araçlarda tek adımda parlatma için de uygundur. Wax veya sealant öncesi ideal zemini hazırlar.","• Detailing dünyasının klasik ve güvenilir final cilası - her profesyonelin setinde olmalı.
• 3/10 kesim ile 9/10 parlaklık - etkili hare giderme ve yüksek bitiş kalitesi.
• Tüm boya tiplerinde güvenli - yumuşaktan serte her vernikte harika sonuçlar.
• Fiyat/performans dengesi mükemmel - ekonomik ve etkili çözüm.
• Silikonsuz formül - koruma öncesi ideal zemin."
22748.261.001,"1. Hazırlık: Araç yüzeyini yıkayın ve kurulayın. Yüzeyin serin olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary, Orbital makineler veya elle uygulama yapılabilir.
   - Daha Fazla Düzeltme: Menzerna Sarı Ara Kat Pedi
   - Daha Parlak Bitiş: Menzerna Yeşil Final Pedi
   - Elle Uygulama: Aplikatör sünger
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük-orta hızda çalıştırın.
   - Rotary: Kademe 2-3
   - Orbital: Kademe 3-4
5. Çalışma: Düzenli hareketlerle çalışın. Ürün şeffaflaşana kadar devam edin.
6. Temizlik: Temiz mikrofiber bezle kalıntıları silin.
7. Sonuç: Düzeltme, parlaklık ve koruma tek adımda tamamlanmış olacak.
8. Pro-Tip: Koruma etkisini artırmak için 24 saat su ile temas ettirmeyin.",Zamanı kısıtlı olan ancak aracının hafif kusurlarını giderip parlak ve korumalı bir yüzeye kavuşmasını isteyenler için idealdir. Satışa sunulacak araçların hazırlanmasında (galerici cilası olarak) kısa sürede görsel kusurları giderir ve çekiciliği artırır. Detailing dünyasına yeni başlayanlar için karmaşayı ortadan kaldırır. Mevsim geçişlerinde aracın hafif matlığını giderip koruma sağlamak için pratik bir çözümdür.,"• Devrim niteliğinde 3in1 formül - pasta + cila + wax tek üründe.
• P3000 zımpara izlerini, swirl marks ve oksidasyonu giderir.
• Koruyucu wax tabakası bırakır - suyu yüzeyden iter.
• Elle uygulama dahil tüm yöntemlerle kullanılabilir.
• Yeni başlayanlar için ideal - karmaşık adımlara gerek yok."
20144.261.001,"1. Hazırlık: Yüzeyi temiz ve yağsız hale getirin. Çalışma alanını küçük tutun.
2. Uygulama Araçları: Scotch Brite veya keçe ped ile Orbital makine veya elle uygulama yapılabilir.
3. Ürün Uygulama: Pede yeterli miktarda ürün alın. Pedin sürekli ıslak kalması önemlidir.
4. Çalışma: Dairesel hareketlerle yüzeyde çalışın. Homojen bir mat görünüm elde edene kadar devam edin.
5. Ped Temizliği: Çalışma esnasında pedi düzenli olarak temizleyin ve ıslak tutun.
6. Temizlik: İşlem sonrası yüzeyi temiz su ile silin ve kalıntı kalmadığından emin olun.
7. Pro-Tip: Sürekli ıslak ve temiz ped ile homojen sonuç alırsınız.","Boya veya yeniden vernikleme işlemi öncesinde yüzeyi matlaştırmak için kullanılır. Geleneksel zımparalamaya güvenli, hızlı ve kontrollü bir alternatif sunar. Oval ve girintili/çıkıntılı yüzeylerde zımpara kağıdının ulaşamadığı yerlerde idealdir. Boya hazırlığı yaparken su lekesi ve kireç gibi inatçı kalıntıları gidermek için de etkilidir.","• Geleneksel zımparaya modern ve güvenli alternatif - tecrübe gerektirmeden homojen sonuç.
• Kıvrımlı ve zorlu yüzeylerde kolaylık - zımparanın ulaşamadığı yerlerde bile etkili.
• 'Likit zımpara' teknolojisi - boyanın mükemmel yapışacağı homojen temel oluşturur.
• Su lekesi ve kireç giderme özelliği - boya hazırlığında ekstra temizlik.
• Silikonsuz formül - boya atölyeleri için güvenli."
23003.391.001,"1. Yüzey Hazırlığı: Metal yüzeyi toz ve kirden arındırın.
2. Elle Uygulama: Mikrofiber bir beze az miktarda MENZERNA Metal Polish sürün.
3. Makineyle Uygulama: Küçük bir polisaj makinasının süngeri üzerine az miktarda ürün sürün.
4. Uygulama: Ürünü dairesel hareketlerle uygulayarak metal yüzeylerde derinlemesine temizlik sağlayın.
5. Parlatma: Yüzey parlamaya başlayana kadar devam edin.
6. Temizlik: Temiz bir mikrofiber bezle artık kalan ürünü silin.
7. Kontrol: Metal yüzeylerin nasıl parladığını görün!","Metal objeler matlaştığında veya istenmeyen lekelerle kaplandığında kullanılır. Paslanmaz çelik, alüminyum, krom, pirinç, bakır ve gümüş yüzeylerde parlaklık kazandırmak için idealdir. Araç egzozları, radyatör ızgaraları, jantlar ve evdeki sıhhi tesisat parçalarında kullanılabilir.","• Geniş kullanım alanı - metal türlerinin çoğunda etkili tek ürün.
• Yoğun formül - az miktarda ürünle büyük sonuçlar.
• Kalıcı parlaklık - uzun süreli etki.
• Silikonsuz formül - zararlı birikimler bırakmaz.
• Elle veya makineyle uygulama - kullanıcı dostu."
