target_sku,section_name,category_name,question_en,answer_en,url,article_id
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,How to use it ?,There are 3 different ways to use Q²M Bathe+ : - 1st Pour into a bucket of water between 15ml of Q²M Bathe+ - Mix the solution - Use the Q²M Smoothie to transfer the solution on your vehicle - proceed with your wash routine - 2nd Pour Q²M Bathe+ directly onto your Q²M Smoothie and proceed panel by panel your washing process - repeat for each panel - 3rd Poor 20ml of Q²M Bathe+ into your Foam Gun - Spray all over the vehicle and rinse off.,https://gyeon.zendesk.com/hc/en-us/articles/360000972658-How-to-use-it,360000972658
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,How to use it ?,Pour into a bucket of water between 15-20ml of Q²M Bathe - Mix the solution - Use the Q²M Smoothie to transfer the solution on your vehicle - proceed with your wash routine,https://gyeon.zendesk.com/hc/en-us/articles/360000972398-How-to-use-it,360000972398
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,How to use it ?,Spray on a small section at the time - Do not let the product dry - Rinse off.,https://gyeon.zendesk.com/hc/en-us/articles/360000961217-How-to-use-it,360000961217
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,How to use it ?,"Spray liberally over all surfaces of the car, for wheels proceed with agitation of the product - let it react and rinse off. Do not let it dry - Do not apply on hot surfaces.",https://gyeon.zendesk.com/hc/en-us/articles/360000972278-How-to-use-it,360000972278
Q2M-CLR500M,Q²M ClayLube REDEFINED,Q²M Collection,How to use it ?,We recommend the dilution before use - Spray abundantly on the selected working panel - proceed with the claying process - remove excess of product with a microfibre.,https://gyeon.zendesk.com/hc/en-us/articles/360000972178-How-to-use-it,360000972178
_BRAND:gyeon:q2m_general,Q²M ClayBars,Q²M Collection,How to use it ?,De-structure a small piece of Clay big enough to cover 1/3 of your hand - Spray abundantly Q²M ClayLube of the panel you desire to decontaminate - Wipe the piece of clay on straight motion over the selected area - Wipe excess of lubricant with a micro fiver - asses result - repeat of you still feel contamination on the touch - Once the clay if a surcharge of contamination use another piece over risking damaging the surface you are working on.,https://gyeon.zendesk.com/hc/en-us/articles/360000972058-How-to-use-it,360000972058
Q2M-WSYA1000M,Q²M WaterSpot,Q²M Collection,How to use it ?,"Spray on a small section at the time - Use a soft microfibre and wipe the affected area multiple time. If necessary – repeat the process - Do not let the product dry, especially on Glass.",https://gyeon.zendesk.com/hc/en-us/articles/360000959857-How-to-use-it,360000959857
Q2M-BGYA1000M,Q²M Bug & Grime,Q²M Collection,How to use it ?,Spray liberally on cold contaminated surface of your vehicle - Do not spray on direct sunlight - Do not let it dry - Rinse off - Re-apply if necessary.,https://gyeon.zendesk.com/hc/en-us/articles/360000959757-How-to-use-it,360000959757
Q2M-FYA4000M,Q²M Foam,Q²M Collection,How to use it ?,Dilute it from 1:5 up to 1:15 into your Foam Canon or Foamer Sprayer. Spray all over the exterior of your vehicle - Let it drag down the dirt for 3 to 5 minutes - Rinse off and proceed with your wash routine.,https://gyeon.zendesk.com/hc/en-us/articles/360000971578-How-to-use-it,360000971578
Q2M-QDYA1000M,Q²M QuickDetailer,Q²M Collection,How to apply ?,Spray liberally on a microfibre - Wipe the product on a painted surface with help of Q²M SoftWipe - Avoid spraying on a hot surface.,https://gyeon.zendesk.com/hc/en-us/articles/360000959397-How-to-apply,360000959397
_BRAND:gyeon:q2m_general,Q²M MetalPolish,Q²M Collection,How to apply ?,Please refer to the direction of use on the bottle.,https://gyeon.zendesk.com/hc/en-us/articles/360000945898-How-to-apply,360000945898
