sku,question,answer
_BRAND:gyeon:training,Nasıl randevu alabilirim?,"Web sitemizdeki özel form üzerinden — tüm uygun tarihler ve eğitim türleri orada listelenir.

https://gyeonquartz.com/gec/"
_BRAND:gyeon:training,Ben bir meraklıyım — beni profesyonel bir detayer olarak yetiştirir misiniz?,Tüm eğitim türlerini alabilirsiniz; sıfırdan en ileri seviyeye kadar tam müfredat dahildir. Ancak şunu hep söyleriz: eğitim sadece uzun bir yolun başlangıcıdır ve pratik hiçbir eğitimle yer değiştirilemez.
_BRAND:gyeon:training,Hangi dillerde eğitim veriyorsunuz?,"İngilizce, Almanca, Hollandaca, Fransızca ve Lehçe."
_BRAND:gyeon:training,Eğitmenleriniz kimler?,"Eğitimimizi mümkün olduğunca çok yönlü tutabilmek için ekibimiz uluslararası ve oldukça deneyimlidir. Ana eğitmenler Yves, Stefan ve Jeremy."
_BRAND:gyeon:training,Hangi eğitimleri sunuyorsunuz?,"Her türünü. Meraklılar için 1 günlük kaplama eğitiminden, profesyonel detayerler veya yeteneklerini geliştirmek isteyen Gyeon Certified Detailer'lar için 5 günlük tam ileri seviye eğitime kadar. Detaylı bilgiyi web sitemizde bulabilirsiniz."
_BRAND:gyeon:training,Eğitim merkeziniz nerede?,Almanya — Köln'de bulunuyor. Tüm bilgilere şuradan ulaşabilirsiniz: https://gyeonquartz.com/gec/
_BRAND:gyeon:certified_detailer,Sertifikasyonun avantajları nelerdir?,5 yıl garantili Certified Detailer kaplamalarına erişim kazanırsınız. Certified statüsü ile dünyanın en iyi detayerlerinden oluşan özel bir ağa dahil olur ve web sitemizde listelenirsiniz. Çalışmalarınızı sosyal medya platformlarımızda öne çıkarırız.
_BRAND:gyeon:certified_detailer,Sözleşme veya minimum sipariş şartı var mı?,Hayır. Tam seçim özgürlüğüne ve doğru ürünü o araç için kendinizin seçmenize inanırız. Yine de detayerlerimizi Gyeon ile yaptıkları işleri sosyal medyada paylaşmaya teşvik ederiz; böylece biz de işlerinizi platformlarımızda paylaşırız.
_BRAND:gyeon:certified_detailer,Bölgesel münhasırlık sağlıyor musunuz?,"Evet, bölgesel münhasırlık sağlıyor ve işletmenizin büyümesi için rahat bir ortam sunmaya çalışıyoruz."
_BRAND:gyeon:certified_detailer,Neden IR lamp gerektiriyorsunuz?,Müşterilerimizin kaplanmış araçlarını tamamen hazır olarak teslim almasını istiyoruz; bu nedenle kaplamayı araç stüdyodan çıkmadan zorla kürlemenizi öneriyoruz. Bu aynı zamanda garantimizin bir gereğidir.
