id,scope,sku,field,before,after,label,confidence,source_quote
phase3a-Q2M-CM1000M-confidence_level-1,product.specs,Q2M-CM1000M,specs.confidence_level,,high,Faz3 extract,high,"…getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar. GYEON…"
phase3a-Q2M-CM1000M-application_method-1,product.specs,Q2M-CM1000M,specs.application_method,,both,Faz3 extract,high,GYEON Q²M Compound: Tek Adımda Yüksek Performanslı Çizik Gid…
phase3a-Q2M-CMP1000M-confidence_level-1,product.specs,Q2M-CMP1000M,specs.confidence_level,,high,Faz3 extract,high,"…getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder, uygulama kalitesini artırır ve en önemlisi, gelecekte…"
phase3a-Q2M-CMPR1000M-confidence_level-1,product.specs,Q2M-CMPR1000M,specs.confidence_level,,high,Faz3 extract,high,"…getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar. GYEON…"
phase3a-Q2M-GP250M-application_method-1,product.specs,Q2M-GP250M,specs.application_method,,machine,Faz3 extract,high,…lışma ortamı sağlar. • Çok Yönlü Uygulama: Hem elle hem de polisaj makinesi ile kullanılabilir. • Hafif Kusur Giderme: Hafif silecek i…
phase3a-Q2M-PO1000M-confidence_level-1,product.specs,Q2M-PO1000M,specs.confidence_level,,high,Faz3 extract,high,"…getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar. GYEON…"
phase3a-Q2M-PPR1000M-application_method-1,product.specs,Q2M-PPR1000M,specs.application_method,,both,Faz3 extract,high,"GYEON Q²M PPF Renew, boya koruma filmini yenilemenin ve koru…"
phase3a-22984.260.001-skill_level-1,product.specs,22984.260.001,specs.skill_level,,pro,Faz3 extract,high,…ellikle yüksek verimlilik ve maliyet etkinliği arayan yoğun atölyeler için vazgeçilmez bir çözümdür. Teknik Özellikler • Aşındırıcıl…
phase3a-22984.281.001-skill_level-1,product.specs,22984.281.001,specs.skill_level,,pro,Faz3 extract,high,…ellikle yüksek verimlilik ve maliyet etkinliği arayan yoğun atölyeler için vazgeçilmez bir çözümdür. Teknik Özellikler • Aşındırıcı…
phase3a-22771.261.001-application_method-1,product.specs,22771.261.001,specs.application_method,,machine,Faz3 extract,high,"…&amp; Ped Seçimi: o Ürün, Flex markasının hem Rotary hem de Orbital makineleriyle tam uyumludur. o Dengeli Performans İçin: Menzerna O…"
phase3a-22828.261.001-application_method-1,product.specs,22828.261.001,specs.application_method,,machine,Faz3 extract,high,"…akine &amp; Ped Seçimi: o Ürün, Flex markasının hem Rotary, Orbital makineleriyle hem de elle uygulamaya tam uyumludur. o Daha Fazla K…"
phase3a-22029.261.001-application_method-1,product.specs,22029.261.001,specs.application_method,,machine,Faz3 extract,high,"…akine &amp; Ped Seçimi: o Ürün, Flex markasının hem Rotary, Orbital makineleriyle hem de elle uygulamaya tam uyumludur. o Maksimum Par…"
phase3a-22911.261.001-application_method-1,product.specs,22911.261.001,specs.application_method,,machine,Faz3 extract,high,"…2. Makine & Ped Seçimi: o Ürün, Flex markasının hem Rotary, Orbital makineleriyle hem de elle uygulamaya tam uyumludur. o Biraz daha f…"
phase3a-22992.261.001-application_method-1,product.specs,22992.261.001,specs.application_method,,machine,Faz3 extract,high,"…akine &amp; Ped Seçimi: o Ürün, Flex markasının hem Rotary, Orbital makineleriyle hem de elle uygulamaya tam uyumludur. o Maksimum Par…"
phase3a-22200.261.001-application_method-1,product.specs,22200.261.001,specs.application_method,,machine,Faz3 extract,high,…im Sünger Ped. 3. Devir &amp; Basınç: o Rotary veya Orbital polisaj makinesi kullanın ve çapraz hareketlerle (cross-coating) uygulayın.…
phase3a-20144.261.001-confidence_level-1,product.specs,20144.261.001,specs.confidence_level,,high,Faz3 extract,high,"…kontrol, boya sonrası alacağınız sonucun kusursuz olmasını garanti eder. MENZERNA İLE MÜKEMMEL BOYANIN TEMELİNİ ATIN!"
phase3a-20144.261.001-application_method-1,product.specs,20144.261.001,specs.application_method,,machine,Faz3 extract,high,"…un. 2. Makine & Ped Seçimi: o Ürün, Flex markasının Rotary, Orbital makineleriyle veya elle uygulamaya tam uyumludur. o Uygulama için…"
phase3a-20144.261.001-rinse_required-1,product.specs,20144.261.001,specs.rinse_required,,True,Faz3 extract,high,"…tutun ve pedinizde ürün kalıntısı biriktiğinde, pedi su ile durulayıp temizleyin. Gerekirse ikinci bir temiz ve ıslak ped ile d…"
phase3a-22748.261.001-application_method-1,product.specs,22748.261.001,specs.application_method,,machine,Faz3 extract,high,"…2. Makine & Ped Seçimi: o Ürün, Flex markasının hem Rotary, Orbital makineleriyle hem de elle uygulamaya tam uyumludur. o Daha Fazla D…"
phase3a-22202.260.001-application_method-1,product.specs,22202.260.001,specs.application_method,,machine,Faz3 extract,high,"…hızda başlatın. o Ardından hızı kademeli olarak artırarak (Orbital makineler için 4-5 hızı idealdir) ve orta basınçla, yüzeyde hafif…"
phase3a-701003-skill_level-1,product.specs,701003,specs.skill_level,,pro,Faz3 extract,high,FRA-BER BERSOLWAX – Seramik İçerikli Yeni Nesil Araç Yıkama…
phase3a-701851-dwell_time_minutes-1,product.specs,701851,specs.dwell_time_minutes,,3,Faz3 extract,high,"…5. Sünger, eldiven veya fırça ile yüzeye uygulayın. 6. 2–3 dakika bekleyin ve ardından yukarıdan aşağıya bol su ile durulayın. Not:…"
phase3a-701851-rinse_required-1,product.specs,701851,specs.rinse_required,,True,Faz3 extract,high,…LANILIR? | Uygulama Talimatları 1. Aracı basınçlı su ile durulayarak iri kirleri ve kalıntıları giderin. 2. Uygulama yapıla…
phase3a-71490-dwell_time_minutes-1,product.specs,71490,specs.dwell_time_minutes,,2,Faz3 extract,high,…a yukarı çıkın. 2. Bekleme: Köpüğün kirleri çözmesi için 1-2 dk bekleyin (kurumasına izin vermeyin). 3. Durulama: Üstten aşağı yüks…
