sku,question,answer
_CAT:abrasive_polish,Pastada silikonsuz formül neden önemli?,"Silikonsuz formül iki kritik avantaj sağlar: (1) Yüzeyde geçici film bırakmaz, yani polisaj sonrası gördüğünüz parlaklık gerçek sonuçtur — silikonlu pastalar çizikleri kısa süreli maskeler, yıkama sonrası kusurlar geri çıkar. (2) Boya atölyeleri için güvenlidir; silikon tozu taze boyaya bulaşırsa 'balıkgözü' (fisheye) denilen kusur oluşur. Ayrıca silikonsuz ürünler wax, sealant ve seramik kaplamaların yüzeye düzgün tutunmasını sağlar — koruma uygulamadan önce yüzeyin temiz kalması şart. Menzerna serisi ve GYEON polisaj ürünleri silikonsuzdur."
_CAT:ceramic_coating,Seramik kaplama kaç yıl veya kaç km dayanır?,"Dayanıklılık ürünün kimyasına göre 12 ay ile 5 yıl arası değişir. Tek katlı ev yapımı SiO2 bazlı ürünler ~12 ay; profesyonel tek kat seramikler (GYEON Mohs EVO, Q One EVO) 24-36 ay; iki kat uygulama + topcoat kullanılırsa 48-60 ay. Kilometre olarak 30,000-50,000 km ortalama. Dayanıklılığı ASIL etkileyen faktörler: (1) yüzey hazırlığı (yağdan tam arındırma), (2) doğru ped ve aplikatör, (3) uygulama sonrası 24 saat kuru ortamda dinlenme, (4) düzenli bakım (6 ayda bir Bathe+ veya Wetcoat ile takviye). Hasarlı boyada dayanıklılık düşer; seramik kaplama boya kusurlarını kapatmaz, korur."
_CAT:car_shampoo,Dekontaminasyon şampuanı ile demir tozu sökücü (iron remover) arasındaki fark nedir?,"Bu iki ürün farklı amaçlıdır ve karıştırılmamalıdır: (1) **Dekontaminasyon şampuanı** — Yıkama sırasında kullanılan, yüzeye yapışmış organik kirleri (kuş pisliği, ağaç reçinesi, kompost) yumuşatan güçlendirilmiş şampuandır. Örnek: GYEON Restart Wash. Rutin yıkama yerine ayda 1-2 kez kullanılır. (2) **Iron remover (demir tozu sökücü)** — Sprey formunda, yüzeydeki metalik kirleri (fren tozu, demiryolu tozu) kimyasal reaksiyonla (genellikle kırmızı renk değişimi) çözen ürün. Yıkama SONRASI durulanmış yüzeye uygulanır, 3-5 dakika bekletilip durulanır. Örnek: GYEON Q²M Iron, Menzerna IrOFF. Seramik kaplama öncesi hazırlıkta her ikisi de kullanılır."
_CAT:glass_cleaner_protectant,Cam seramik kaplama ile cam temizleyici arasındaki fark nedir?,"**Cam temizleyici** (glass cleaner) — günlük kirleri (böcek, yağ, parmak izi) çözen amonyaklı veya amonyaksız sprey. Sadece temizler, koruma SAĞLAMAZ. Örnek: FRA-BER Vetrox. **Cam seramik kaplama** (glass coating) — SiO2/florlu kimyasalla camda hidrofobik (su itici) katman oluşturur. Yağmurda görüşü artırır, silecek ömrünü uzatır. Örnek: GYEON Q²M View EVO, Innovacar SC3. Uygulama öncesi cam kil + cam pastası ile hazırlanmalı. Dayanıklılık 6-24 ay. Düzenli yıkamalarda su iticiliği takviye için Wetcoat tipi sprey kullanılabilir. Kategori olarak: temizleyici → glass_cleaner, kaplama → ceramic_coating altında glass_coating."
_CAT:ceramic_coating,PPF (Paint Protection Film) + seramik kaplama uygulama sırası nasıl olmalı?,"Doğru sıra: **Polisaj → Yüzey hazırlık (Prep) → PPF uygulaması → PPF üstüne seramik kaplama.** Detaylar: (1) Önce boya kusurları pasta ile giderilir (çünkü PPF sonrası düzeltme zorlaşır). (2) Prep ile yağ/silikon arındırma. (3) PPF ustaca uygulanır, kenarları kesilir. (4) PPF tam oturduktan (24-48 saat) sonra üzerine PPF uyumlu seramik kaplama. GYEON Mohs EVO, CanCoat EVO gibi ürünler PPF üstü kullanım için uygundur. Q²M PPF Renew gibi PPF-özel ürünler de vardır. ASLA boya üzerindeki aşındırıcı pastayı PPF üzerinde kullanma — folyo yırtılır. Seramik PPF'in sarı rengi önleme etkisini korur + yüzeyi temizlemeyi kolaylaştırır."
_CAT:interior_cleaner,"Alkol bazlı iç mekan temizleyici plastik, torpido ve deri için güvenli mi?","Kısa cevap: %70 üstü saf alkol direkt plastikte ve boyalı yüzeylerde hasar verebilir, önerilmez. Ürün bazlı alkol içeriği farklıdır: (1) Profesyonel iç mekan temizleyicileri (GYEON Q²M InteriorCleaner, Innovacar IC1) dengelenmiş formül içerir, plastik/vinyl güvenlidir. (2) Deri için MUTLAKA pH dengeli ve yağlandırıcı formül kullanın — alkol deriyi kurutur ve çatlatabilir. GYEON Q²M Leather Cleaner önerilir. (3) Ekran ve dokunmatik paneller için düşük alkollü, bezle uygulanan ürünler tercih edilmeli. Test yöntemi: Görünmez köşede 24 saat bekletip renk değişimi/yumuşama kontrolü yap. Direkt sprey yerine mikrofiber beze püskürtüp yüzeye uygulamak daha güvenlidir."
_CAT:paint_protection_quick,"Seramik kaplamanın su iticiliği neden zamanla kaybolur, nasıl yenilenir?","Su iticilik kaybının nedenleri: (1) agresif ve asitli yıkama kimyasalları, (2) tuz ve yol kirlerinin birikimi, (3) güneş UV'si, (4) aracın sürekli toz/kum ile temas etmesi, (5) rutin pH-nötr olmayan şampuan kullanımı. Yenileme: (1) Rutin takviye — yıkama sonrası ıslak yüzeye **GYEON Q²M WetCoat** veya **CeramicDetailer** sıkılıp durulanır. Bu seramik kaplamaya 2-3 hafta ek su iticilik kazandırır. (2) Derin restorasyon — 6 ayda bir GYEON Cure veya Bathe+ ile yıkama + spot polisaj. (3) Önleme — hep pH-nötr şampuan, temiz beyaz köpük, düzenli dekontaminasyon. Seramik kaplama boyayı korur ama kendisi de bakım ister. Tamamen etkisini kaybetmişse tekrar seramik kaplama (topcoat) uygulanır."
_CAT:_workflow,Yeni/sıfır bir araç için ilk bakım adımları nelerdir?,"Sıfır araç transport filmi + fabrika koruması ile gelir. Delivery-prep sonrası: (1) **İlk yıkama** — pH nötr şampuan (GYEON Bathe) ile çift kova yöntemi, soft yıkama eldiveni. (2) **Kurulama** — büyük mikrofiber kurulama havlusu (GYEON SilkDryer EVO). (3) **Dekontaminasyon** — fabrika çıkışı bile boyada mikroskobik demir kirliliği vardır; iron remover + kil bar ile tertemiz yüzey. (4) **Yüzey hazırlığı** — Q²M Prep ile yağ/silikon arındırma. (5) **Seramik kaplama** — tercihen profesyonel merkezde (GYEON Mohs EVO 2 kat ideal). (6) **Bekleme** — uygulama sonrası 24 saat kuru ortamda bekle, 7 gün yıkama yapma. (7) **Rutin bakım** — her 2 haftada pH nötr yıkama + aylık Bathe+ takviye + 6 ayda WetCoat spray."
_CAT:_workflow,"Kış şartlarında (tuz, buz çözücü, yol tuzu) araç boyası ve seramik kaplama nasıl korunur?","Kış zorlu mevsim — yol tuzu, buz çözücü kimyasallar ve nem boyaya ve özellikle kromlu parçalara zarar verir. Önlemler: (1) **Ön koruma** — kış öncesi seramik kaplama takviyesi veya PPF uygulaması. Q²M Wetcoat ile hidrofobik katman. (2) **Yıkama sıklığı** — kışın 2 haftada 1 YIKAMA ŞART (yaz'a göre daha sık). Tuz birikimi boyayı içten aşındırır. (3) **Alt yıkama** — makine altı / şasi yıkaması önemli. (4) **Dekontaminasyon** — ayda 1 iron remover ile fren/demir tozu temizliği. (5) **Güvenli ürünler** — asit/kostik içermeyen, pH nötr şampuan. Agresif degreaser yasak (koruma tabakasını söker). (6) **Kurulama** — ıslak halde donma riski → mutlaka kurut. (7) **Mikrofiber bez kalitesi** — buz kristalleri çizer, temiz ve yumuşak bez kullan. Kış sonu genel elden geçirme (bahar detay) tavsiye edilir."
_CAT:car_shampoo,Seramik kaplı araca pH nötr şampuan neden önemli?,"Seramik kaplama çok dayanıklı olmasına rağmen agresif kimyasallar koruma katmanının aşınmasına neden olur. pH nötr (6.5-7.5) şampuan: (1) **Seramik katmana zarar vermez** — asidik veya bazik şampuanlar kimyasal reaksiyonla SiO2 bağlarını çözebilir. (2) **Su iticiliği korur** — alkalı şampuanlar kaplamayı temizler ama hidrofobik özelliği hızlıca söker. (3) **Cilalı (waxed/sealed) yüzeyler için güvenli** — wax katmanı da agresif şampuanlara karşı hassas. (4) **Sık yıkamaya uygun** — kaplama ömrü boyunca hep aynı şampuanı kullanmak tavsiye edilir. Öneriler: GYEON Bathe (klasik pH nötr), GYEON Bathe+ (SiO2 takviyeli — hem yıkar hem su itici özelliği tazeler), Innovacar S1 Wash&Coat (seramik katkılı). Genel yıkama tozları (ev deterjanı, bulaşık sabunu) asla kullanma — kaplama ömrünü %50 düşürür."
